"id"	"ipip1"	"ipip2"	"ipip3"	"ipip4"	"ipip5"	"ipip6"	"ipip7"	"ipip8"	"ipip9"	"ipip10"	"ipip11"	"ipip12"	"ipip13"	"ipip14"	"ipip15"	"ipip16"	"ipip17"	"ipip18"	"ipip19"	"ipip20"	"ipip21"	"ipip22"	"ipip23"	"ipip24"	"ipip25"	"ipip26"	"ipip27"	"ipip28"	"ipip29"	"ipip30"	"ipip31"	"ipip32"	"ipip33"	"ipip34"	"ipip35"	"ipip36"	"ipip37"	"ipip38"	"ipip39"	"ipip40"	"ipip41"	"ipip42"	"ipip43"	"ipip44"	"ipip45"	"ipip46"	"ipip47"	"ipip48"	"ipip49"	"ipip50"
1	5	2	5	4	2	1	5	2	3	4	5	3	3	4	5	1	5	3	4	4	5	1	4	5	2	1	5	2	3	1	5	1	3	4	2	1	4	2	4	1	5	5	5	4	5	1	5	3	1	4
2	5	4	4	4	5	1	5	5	4	2	5	4	1	2	5	1	4	2	1	1	5	1	1	4	5	1	5	4	4	1	4	2	2	5	5	1	4	2	5	4	5	5	2	4	4	4	4	2	5	5
4	3	1	4	4	4	3	4	3	3	1	4	1	4	4	5	3	4	3	2	2	4	2	3	3	4	2	4	3	4	1	2	2	3	3	4	3	4	2	3	3	3	4	3	3	4	4	3	3	3	4
6	2	1	4	4	4	3	5	4	4	2	4	2	4	3	4	2	4	2	2	2	5	2	3	2	4	2	4	2	4	2	4	2	4	4	4	3	4	2	4	4	4	4	4	2	4	3	4	4	3	3
7	2	2	2	2	4	4	3	4	4	1	3	2	4	2	3	3	3	3	3	2	2	3	2	5	3	3	3	3	3	3	4	2	2	3	3	3	4	3	4	4	2	3	2	3	4	5	3	4	2	3
10	1	1	4	3	4	5	4	1	3	2	2	1	5	3	3	5	4	2	3	2	1	1	4	3	4	4	4	2	2	3	1	2	4	2	3	5	2	2	1	3	1	4	4	2	5	5	3	4	2	3
12	3	1	4	1	4	4	4	1	4	1	4	1	5	4	4	3	4	1	3	2	4	1	5	1	5	1	5	1	2	1	2	2	5	1	5	5	5	1	1	4	2	5	5	1	4	4	4	5	2	5
13	3	1	2	5	4	3	4	4	4	4	5	4	2	4	5	3	4	3	3	3	3	2	2	3	3	4	4	4	1	2	2	1	4	2	4	2	3	2	3	3	3	3	2	4	5	5	4	5	2	3
14	1	1	3	5	3	5	5	1	1	2	2	1	5	5	5	5	5	4	2	1	4	1	1	5	4	5	5	4	5	1	1	1	5	5	3	5	5	1	5	1	1	5	4	4	5	5	5	3	5	4
15	1	1	3	3	5	4	5	5	4	1	3	1	5	4	5	5	5	3	3	1	4	1	1	5	5	3	5	5	3	1	1	1	1	4	5	5	5	5	3	5	1	4	2	3	4	5	3	1	2	4
16	1	2	2	1	1	4	4	1	4	1	3	1	4	4	2	4	3	1	5	3	2	4	5	2	2	4	2	1	1	4	2	3	5	1	4	5	4	1	1	1	1	3	5	1	1	5	4	3	1	1
17	2	3	2	5	5	4	2	1	4	1	3	3	4	5	5	5	3	1	2	1	2	4	3	4	5	3	2	1	4	2	2	3	5	5	3	5	5	2	5	5	1	3	5	5	5	4	2	3	4	5
18	1	1	1	5	1	3	5	4	2	1	3	1	5	5	5	5	5	3	1	1	1	2	1	5	4	4	5	5	5	1	1	1	3	5	3	5	5	3	5	1	1	5	1	5	5	5	3	5	5	5
20	4	1	2	5	2	2	5	4	4	2	4	3	2	5	5	2	5	5	2	1	4	1	2	4	5	2	5	5	4	1	4	1	2	5	4	2	5	2	5	2	4	5	2	5	5	2	4	2	3	4
